Serial Number,NZDT,Heading
004-0009-00481,16/10/20 17:22:47,347.760282
004-0009-00481,16/10/20 17:22:46,350.9111466
004-0009-00481,16/10/20 17:22:44,345.2486614
004-0009-00481,16/10/20 17:22:43,344.793767
004-0009-00481,16/10/20 17:22:41,350.6474053
004-0009-00481,16/10/20 17:22:40,345.6562031
004-0009-00481,16/10/20 17:22:39,346.7682687
004-0009-00481,16/10/20 17:22:38,339.6851908
004-0009-00481,16/10/20 17:22:36,343.0104093
004-0009-00481,16/10/20 17:22:35,344.3231936
004-0009-00481,16/10/20 17:22:34,346.2924506
004-0009-00481,16/10/20 17:22:33,358.3999985
004-0009-00481,16/10/20 17:22:32,354.1259909
004-0009-00481,16/10/20 17:22:31,357.5369581
004-0009-00481,16/10/20 17:22:29,348.8571879
004-0009-00481,16/10/20 17:22:28,342.461131
004-0009-00481,16/10/20 17:22:27,344.8445105
004-0009-00481,16/10/20 17:22:26,339.3675731
004-0009-00481,16/10/20 17:22:25,341.0851832
004-0009-00481,16/10/20 17:22:23,340.6509104
004-0009-00481,16/10/20 17:22:22,344.0478687
004-0009-00481,16/10/20 17:22:21,344.4979681
004-0009-00481,16/10/20 17:22:20,341.6910934
004-0009-00481,16/10/20 17:22:19,341.0155296
004-0009-00431,16/10/20 16:48:00,343.8372965
004-0009-00431,16/10/20 16:47:59,347.9130816
004-0009-00431,16/10/20 16:47:58,336.5665847
004-0009-00431,16/10/20 16:47:57,301.9882198
004-0009-00431,16/10/20 16:47:56,238.2783519
004-0009-00431,16/10/20 16:47:55,221.6869081
004-0009-00431,16/10/20 16:47:54,253.3167446
004-0009-00431,16/10/20 16:47:52,321.1077578
004-0009-00431,16/10/20 16:47:51,320.3147342
004-0009-00431,16/10/20 16:47:50,323.4594842
004-0009-00431,16/10/20 16:47:48,332.577828
004-0009-00431,16/10/20 16:47:47,356.3967969
004-0009-00431,16/10/20 16:47:46,363.0825054
004-0009-00431,16/10/20 16:47:44,347.9455592
004-0009-00431,16/10/20 16:47:43,347.7358873
004-0009-00431,16/10/20 16:47:42,344.4066183
004-0009-00431,16/10/20 16:47:41,344.3542636
004-0009-00431,16/10/20 16:47:39,342.2137492
004-0009-00431,16/10/20 16:47:38,341.9438476
004-0009-00431,16/10/20 16:47:37,339.0054082
004-0009-00431,16/10/20 16:47:36,343.5548187
004-0009-00431,16/10/20 16:47:34,342.6564107
004-0009-00431,16/10/20 16:47:33,341.2482682
004-0009-00431,16/10/20 16:47:32,338.3041025
004-0009-00431,16/10/20 16:47:30,346.367596
004-0009-00431,16/10/20 16:47:29,340.3002093
004-0009-00431,16/10/20 16:47:28,333.2607156
004-0009-00431,16/10/20 16:47:27,332.5164035
004-0009-00431,16/10/20 16:47:26,333.3876191
004-0009-00431,16/10/20 16:47:24,337.894878
004-0009-00431,16/10/20 16:47:23,339.9174584
004-0009-00431,16/10/20 16:47:22,335.5132997
004-0009-00431,16/10/20 16:47:21,328.5934653
004-0009-00431,16/10/20 16:47:20,325.0764437
004-0009-00431,16/10/20 16:47:18,332.9004417
004-0009-00431,16/10/20 16:47:17,349.4247189
004-0009-00431,16/10/20 16:47:16,347.0463456
004-0009-00431,16/10/20 16:47:14,353.8734659
004-0009-00431,16/10/20 16:47:13,357.590911
004-0009-00431,16/10/20 16:47:12,358.1739278
004-0009-00431,16/10/20 16:47:11,350.5955154
004-0009-00431,16/10/20 16:47:10,348.0949775
004-0009-00431,16/10/20 16:47:08,347.2535269
004-0009-00431,16/10/20 16:47:07,353.7387729
004-0009-00431,16/10/20 16:47:06,351.8831096
004-0009-00431,16/10/20 16:47:05,337.2448169
004-0009-00431,16/10/20 16:47:04,333.9619355
004-0009-00431,16/10/20 16:47:03,337.2749166
004-0009-00431,16/10/20 16:47:02,344.8528173
004-0009-00431,16/10/20 16:47:01,348.3531681
004-0009-00431,16/10/20 16:46:59,352.071831
004-0009-00431,16/10/20 16:46:58,350.4179991
004-0009-00431,16/10/20 16:46:57,344.2682536
004-0009-00431,16/10/20 16:46:55,349.5340807
004-0009-00431,16/10/20 16:46:54,368.0368614
004-0009-00431,16/10/20 16:46:53,352.3159413
004-0009-00431,16/10/20 16:46:52,337.2866826
004-0009-00431,16/10/20 16:46:51,353.4984937
004-0009-00431,16/10/20 16:46:49,369.8708532
004-0009-00431,16/10/20 16:46:47,354.1929727
004-0009-00431,16/10/20 16:46:46,335.6925084
004-0009-00431,16/10/20 16:46:45,331.6139581
004-0009-00431,16/10/20 16:46:44,306.0129536
004-0009-00431,16/10/20 16:46:42,339.912084
004-0009-00431,16/10/20 16:46:41,338.8990386
004-0009-00431,16/10/20 16:46:40,347.3771269
004-0009-00431,16/10/20 16:46:38,342.265001
004-0009-00431,16/10/20 16:46:36,347.4568313
004-0009-00431,16/10/20 16:46:35,358.0833541
004-0009-00431,16/10/20 16:46:34,360.4959139
004-0009-00431,16/10/20 16:46:33,354.1853353
004-0009-00431,16/10/20 16:46:32,362.6466623
004-0009-00431,16/10/20 16:46:31,349.1732867
004-0009-00431,16/10/20 16:46:29,333.5598472
004-0009-00431,16/10/20 16:46:28,338.2627178
004-0009-00431,16/10/20 16:46:27,343.3452555
004-0009-00431,16/10/20 16:46:25,340.0247514
004-0009-00431,16/10/20 16:46:24,341.7309699
004-0009-00431,16/10/20 16:46:23,331.5822321
004-0009-00431,16/10/20 16:46:22,323.591774
004-0009-00431,16/10/20 16:46:20,316.8926443
004-0009-00431,16/10/20 16:46:19,336.1958338
004-0009-00431,16/10/20 16:46:17,336.4950003
004-0009-00431,16/10/20 16:46:16,340.3947242
004-0009-00431,16/10/20 16:46:15,347.2115236
004-0009-00431,16/10/20 16:46:14,345.535502
004-0009-00431,16/10/20 16:46:12,338.5276137
004-0009-00431,16/10/20 16:46:11,342.2346094
004-0009-00431,16/10/20 16:46:10,343.8695412
004-0009-00431,16/10/20 16:46:09,346.6838117
004-0009-00431,16/10/20 16:46:08,353.699624
004-0009-00431,16/10/20 16:46:07,350.9860175
004-0009-00431,16/10/20 16:46:06,351.1854963
004-0009-00431,16/10/20 16:46:05,338.5907042
004-0009-00431,16/10/20 16:46:04,336.0114774
004-0009-00431,16/10/20 16:46:03,342.7650798
004-0009-00431,16/10/20 16:46:02,348.3876355
004-0009-00431,16/10/20 16:46:01,349.151619
004-0009-00431,16/10/20 16:46:00,344.7555595
004-0009-00431,16/10/20 16:45:59,336.9579659
004-0009-00431,16/10/20 16:45:58,336.6539685
004-0009-00431,16/10/20 16:45:57,346.0008795
004-0009-00431,16/10/20 16:45:56,337.5302757
004-0009-00431,16/10/20 16:45:54,327.8908222
004-0009-00431,16/10/20 16:45:53,325.7101344
004-0009-00431,16/10/20 16:45:51,331.2959455
004-0009-00431,16/10/20 16:45:50,322.9401176
004-0009-00431,16/10/20 16:45:48,343.0391294
004-0009-00431,16/10/20 16:45:47,345.3335699
004-0009-00431,16/10/20 16:45:46,345.1154837
004-0009-00431,16/10/20 16:45:44,375.3946304
004-0009-00431,16/10/20 16:45:43,366.3936134
004-0009-00431,16/10/20 16:45:42,351.6612852
004-0009-00431,16/10/20 16:45:41,350.1500346
004-0009-00431,16/10/20 16:45:40,356.5019643
004-0009-00431,16/10/20 16:45:39,348.6259608
004-0009-00431,16/10/20 16:45:38,349.7685538
004-0009-00431,16/10/20 16:45:37,339.9103114
004-0009-00431,16/10/20 16:45:35,350.0597382
004-0009-00431,16/10/20 16:45:34,336.9781513
004-0009-00431,16/10/20 16:45:33,340.9861131
004-0009-00431,16/10/20 16:45:32,343.1604917
004-0009-00431,16/10/20 16:45:31,336.1275532
004-0009-00431,16/10/20 16:45:30,339.5509362
004-0009-00431,16/10/20 16:45:29,348.6397892
004-0009-00431,16/10/20 16:45:27,341.0296862
004-0009-00431,16/10/20 16:45:26,341.8963175
004-0009-00431,16/10/20 16:45:25,334.3870425
004-0009-00431,16/10/20 16:45:24,337.5776725
004-0009-00431,16/10/20 16:45:23,346.6071743
004-0009-00431,16/10/20 16:45:22,366.111871
004-0009-00431,16/10/20 16:45:20,359.1240434
004-0009-00431,16/10/20 16:45:19,345.4452265
004-0009-00431,16/10/20 16:45:18,354.1233974
004-0009-00431,16/10/20 16:45:17,346.8322294
004-0009-00431,16/10/20 16:45:15,341.6919566
004-0009-00431,16/10/20 16:45:14,342.8007899
004-0009-00431,16/10/20 16:45:12,342.8757349
004-0009-00431,16/10/20 16:45:11,345.078093
004-0009-00431,16/10/20 16:45:10,348.8560323
004-0009-00431,16/10/20 16:45:09,338.8804762
004-0009-00431,16/10/20 16:45:08,356.4176451
004-0009-00431,16/10/20 16:45:07,358.6833216
004-0009-00431,16/10/20 16:45:06,360.3639922
004-0009-00431,16/10/20 16:45:05,361.1770388
004-0009-00431,16/10/20 16:45:04,347.7846057
004-0009-00431,16/10/20 16:45:03,348.0112492
004-0009-00431,16/10/20 16:45:02,346.969991
004-0009-00431,16/10/20 16:45:01,335.7741429
004-0009-00431,16/10/20 16:45:00,339.0661957
004-0009-00431,16/10/20 16:44:58,341.5570639
004-0009-00431,16/10/20 16:44:57,340.4198471
004-0009-00431,16/10/20 16:44:55,337.1314037
004-0009-00431,16/10/20 16:44:54,337.8735316
004-0009-00431,16/10/20 16:44:52,339.4423112
004-0009-00431,16/10/20 16:44:51,342.5969056
004-0009-00431,16/10/20 16:44:50,345.6013349
004-0009-00431,16/10/20 16:44:48,341.2841944
004-0009-00431,16/10/20 16:44:47,336.8458997
004-0009-00431,16/10/20 16:44:46,340.2492291
