Serial Number,NZDT,Latitude,Longitude,GPS Heading,GPS Speed
004-0009-00481,16/10/20 17:23:41,-37.5556822,175.459126,359,0.906694071
004-0009-00481,16/10/20 17:23:39,-37.5556985,175.4591264,359,1.712962049
004-0009-00481,16/10/20 17:23:38,-37.5557139,175.4591265,358,1.312984222
004-0009-00481,16/10/20 17:23:37,-37.5557257,175.4591269,358,0.906790205
004-0009-00481,16/10/20 17:23:35,-37.555742,175.4591274,358,1.201411194
004-0009-00481,16/10/20 17:23:34,-37.5557528,175.4591276,359,0.906523141
004-0009-00481,16/10/20 17:23:32,-37.5557691,175.4591276,6,1.150526446
004-0009-00481,16/10/20 17:23:31,-37.5557794,175.4591264,359,1.234933524
004-0009-00481,16/10/20 17:23:30,-37.5557905,175.4591261,358,1.792551785
004-0009-00481,16/10/20 17:23:29,-37.5558066,175.459127,354,1.758004988
004-0009-00481,16/10/20 17:23:28,-37.5558223,175.4591293,359,1.179561854
004-0009-00481,16/10/20 17:23:27,-37.5558329,175.4591297,0,1.16794642
004-0009-00481,16/10/20 17:23:26,-37.5558434,175.4591296,1,1.202861418
004-0009-00481,16/10/20 17:23:25,-37.5558542,175.4591289,3,1.695091599
004-0009-00481,16/10/20 17:23:24,-37.5558693,175.4591263,4,0.862940805
004-0009-00481,16/10/20 17:23:22,-37.5558848,175.4591254,5,0.870100861
004-0009-00481,16/10/20 17:23:20,-37.5559004,175.4591239,3,1.226090245
004-0009-00481,16/10/20 17:23:19,-37.5559114,175.459123,4,1.723851276
004-0009-00481,16/10/20 17:23:18,-37.5559268,175.4591208,0,1.1345443
004-0009-00481,16/10/20 17:23:17,-37.555937,175.4591208,356,1.651488154
004-0009-00481,16/10/20 17:23:16,-37.5559518,175.4591223,358,0.546463692
004-0009-00481,16/10/20 17:23:14,-37.5559616,175.4591232,2,1.715673896
004-0009-00481,16/10/20 17:23:13,-37.555977,175.4591221,358,1.693463849
004-0009-00481,16/10/20 17:23:12,-37.5559922,175.4591232,357,1.035784831
004-0009-00481,16/10/20 17:23:11,-37.5560015,175.4591238,359,0.828767442
004-0009-00481,16/10/20 17:23:09,-37.5560164,175.4591241,0,1.10149194
004-0009-00481,16/10/20 17:23:08,-37.5560263,175.4591238,359,1.701907505
004-0009-00481,16/10/20 17:23:07,-37.5560416,175.459124,359,0.923302029
004-0009-00481,16/10/20 17:23:05,-37.5560582,175.4591237,2,1.169537518
004-0009-00481,16/10/20 17:23:04,-37.5560687,175.459123,0,1.813067649
004-0009-00481,16/10/20 17:23:03,-37.556085,175.4591231,6,0.565576924
004-0009-00481,16/10/20 17:23:01,-37.5560951,175.4591216,6,1.729805404
004-0009-00481,16/10/20 17:23:00,-37.5561106,175.45912,11,0.74376436
004-0009-00481,16/10/20 17:22:58,-37.5561237,175.4591166,15,0.867153692
004-0009-00481,16/10/20 17:22:57,-37.5561311,175.4591135,9,1.535601949
004-0009-00481,16/10/20 17:22:56,-37.5561447,175.4591105,11,0.540591796
004-0009-00481,16/10/20 17:22:54,-37.5561542,175.4591079,6,1.744093268
004-0009-00481,16/10/20 17:22:53,-37.5561698,175.4591059,11,1.724969903
004-0009-00481,16/10/20 17:22:52,-37.5561851,175.4591027,9,1.216791015
004-0009-00481,16/10/20 17:22:51,-37.5561959,175.4591005,9,1.218222913
004-0009-00481,16/10/20 17:22:50,-37.5562067,175.4590982,5,1.185458969
004-0009-00481,16/10/20 17:22:49,-37.5562173,175.4590968,4,1.964776144
004-0009-00481,16/10/20 17:22:48,-37.5562349,175.4590949,4,1.214448512
004-0009-00481,16/10/20 17:22:47,-37.5562458,175.4590941,3,1.213554978
004-0009-00481,16/10/20 17:22:46,-37.5562567,175.4590935,0,0.956586691
004-0009-00481,16/10/20 17:22:44,-37.5562739,175.4590936,1,1.857621637
004-0009-00481,16/10/20 17:22:43,-37.5562906,175.4590934,2,0.891969436
004-0009-00481,16/10/20 17:22:41,-37.5563066,175.459092,4,1.238442082
004-0009-00481,16/10/20 17:22:40,-37.5563177,175.4590909,6,1.760119102
004-0009-00481,16/10/20 17:22:39,-37.5563334,175.4590884,358,1.301865265
004-0009-00481,16/10/20 17:22:38,-37.5563451,175.4590888,357,0.867693164
004-0009-00481,16/10/20 17:22:36,-37.5563607,175.4590891,2,1.112855467
004-0009-00481,16/10/20 17:22:35,-37.5563707,175.4590887,4,1.082514114
004-0009-00481,16/10/20 17:22:34,-37.5563804,175.4590877,11,1.050823662
004-0009-00481,16/10/20 17:22:33,-37.5563897,175.4590856,11,1.179212234
004-0009-00481,16/10/20 17:22:32,-37.5564001,175.459083,8,1.156571508
004-0009-00481,16/10/20 17:22:31,-37.5564104,175.4590812,4,0.894625747
004-0009-00481,16/10/20 17:22:29,-37.5564264,175.4590791,3,1.797041462
004-0009-00481,16/10/20 17:22:28,-37.5564425,175.4590774,359,1.212405182
004-0009-00481,16/10/20 17:22:27,-37.5564534,175.4590774,358,1.268783676
004-0009-00481,16/10/20 17:22:26,-37.5564648,175.4590779,355,1.759040207
004-0009-00481,16/10/20 17:22:25,-37.5564805,175.4590803,357,0.948409474
004-0009-00481,16/10/20 17:22:23,-37.5564975,175.459082,1,1.101738107
004-0009-00481,16/10/20 17:22:22,-37.5565074,175.4590816,3,1.28280252
004-0009-00481,16/10/20 17:22:21,-37.5565189,175.4590805,0,1.279415632
